index,Наименование параметра,7Д37
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Длина хода ползуна, мм",150..1000
3,"Наибольшее сечение резца, мм",25 х 40
4,"Наибольшее расстояние от опорной поверхности резца до станины (вылет), мм",1120
5,"Высота ползуна над рабочей поверхностью стола, мм",500
6,Стол,
7,"Размеры рабочей поверхности стола - верхней, мм",560 х 1000
8,"Размеры рабочей поверхности стола - правой, мм",500 х 1000
9,"Размеры рабочей поверхности стола - левой, мм",500 х 1000
10,"Наибольшее перемещение стола - горизонтальное, мм",800
11,"Наибольшее перемещение стола - вертикальное, мм",320
12,Число горизонтальных подач стола,
13,"Пределы горизонтальных подач стола, мм/дв.ход",02..50
14,"Быстрое, горизонтальное перемещение стола, м/мин",23
15,"Быстрое вертикальное перемещение стола, м/мин",016
16,"Цена деления лимба горизонтального перемещения, мм",01
17,"Перемещение стола горизонтальное на один оборот рукоятки, мм",8
18,"Цена деления лимба вертикального перемещения, мм",005
19,"Перемещение стола вертикальное на один оборот рукоятки, мм",055
20,Ползун. Суппорт,
21,"Наибольшее вертикальное перемещение салазок суппорта (головки резца) от руки, мм",200
22,"Цена деления лимба, мм",005
23,"Перемещение салазок суппорта (головки резца) на один оборот рукоятки, мм",5
24,"Размеры окна резцедержателя, мм",32 х 55
25,"Наибольший угол поворота резцовой головки до входа в станину, град",±60°
26,"Наибольший угол поворота доски резцедержателя, град",±15°
27,"Наибольшее допустимое усилие резания, кН (тс)","28 (2,8)"
28,"Скорость ползуна под нагрузкой, м/мин",3..48
29,"Скорость ползуна во время обратного хода, м/мин",16..48
30,"Подачи суппорта, мм/дв.ход",015..105
31,Механическая подача резцовой головки вниз,есть
32,Подъем резцовой головки при обратном ходе,есть
33,Электрооборудование. Привод,
34,Количество электродвигателей на станке,2
35,"Электродвигатель главного движения, кВт (об/мин)",10 (970)
36,"Электродвигатель быстрых перемещений стола, кВт (об/мин)","1,1 (1400)"
37,Габариты и масса станка,
38,"Габариты станка (длина ширина высота), мм",3700 х 1850 х 1980
39,"Масса станка, кг",4500
