index,Наименование параметра,ИС-800ПМФ4
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры рабочей поверхности стола (длина х ширина), мм",800 х 800
3,"Перемещение поперечное стола (ось X), мм",1000
4,"Перемещение вертикальное шпиндельной бабки (ось Y), мм",1000
5,"Перемещение продольное стойки (ось Z), мм",800
6,"Вращение индексируемого поворотного стола (ось B), град",3° 120 поз.
7,"Дискретность непрерывного вращения индексируемого поворотного стола (ось B), град",0001
8,"Диаметр сверления в стали, мм",3..45
9,"Наибольший диаметр нарезания резьбы в стали, мм",М6..М100
10,"Наибольший диаметр растачиваемого отверстия, мм",315
11,"Наибольший диаметр торцовой фрезы, мм",315
12,"Производительность съема стружки (22 кВт), см³/мин",450
13,"Точность позиционирования по осям X/ Y, мм",
14,"Точность позиционирования по осям Z, мм",
15,"Рабочая подача по осям X, Y, Z, мм/мин",1..6000
16,"Скорость быстрых установочных перемещений по осям X, Y, Z, м/мин",15
17,"Наибольшее допустимое усилие подачи стола по оси X, Н",12500
18,"Наибольшее допустимое усилие подачи шпиндельной бабки (вертикальное) по оси Y вниз/ вверх, Н",10000/ 5000
19,"Наибольшее допустимое усилие подачи стойки по оси Z, Н",15000
20,"Расстояние от оси шпинделя до стола, мм",20..1020
21,"Расстояние от торца шпинделя до оси стола, мм",200..1000
22,Модель устройства ЧПУ,
23,Количество управляемых координат,3
24,Количество одновременно управляемых координат при линейной/ круговой интерполяции,3/3
25,Рабочий стол,
26,"Максимальная нагрузка на стол (по центру), кг",1600
27,Количество резьбовых отверстий на поверхности стола,47
28,"Диаметр резьбовых отверстий на поверхности стола, мм",М16
29,Шпиндель,
30,"Частота вращения шпинделя, об/мин",8..4500
31,Количество скоростей шпинделя,
32,"Наибольший крутящий момент, Нм",980
33,Конус шпинделя для крепления инструмента 7:24,
34,Магазин инструмента,
35,Количество инструмента в магазине,64
36,"Время смены инструмента, с",8
37,"Время смены инструмента от стружки к стружке, с",20
38,"Максимальный диаметр рядом стоящего инструмента, мм",125
39,"Максимальный диаметр свободно стоящего инструмента, мм",
40,"Максимальная длина инструмента от торца шпинделя, мм",400
41,"Масса инструментальной оправки с инструментом, кг",25
42,Устройство смены столов-спутников,
43,"Время смены столов-спутников, с",40
44,Электрооборудование и привод,
45,Количество электродвигателей на станке,
46,"Электродвигатель постоянного тока привода главного движения, кВт",
47,"Электродвигатели привода подач (X, Y, Z, B) и магазина, Н.м",
48,"Электродвигатель насоса гидростанции, кВт",
49,"Электродвигатель вентилятора гидростанции, кВт",
50,"Электродвигатель вентилятора шпинделя, кВт",
51,"Электродвигатель насоса смазки шпиндельной бабки, кВт",
52,"Электродвигатель насоса смазки направляющих, кВт",
53,"Электронасос охлаждающей жидкости Мощность, кВт",
54,"Суммарная мощность всех электродвигателей на станке, кВт",
55,Габариты и масса станка,
56,"Габариты станка (длина ширина), мм",6150 х 4750
57,"Габариты станка (высота), мм",4000
58,"Масса станка, кг",17000
